Batman Begins,"28,80,18"
Aloha Scooby-Doo!,"9648,10751,16,12,35"
Tideland,"14,18,53,878"
The Brice Man,35
The Poseidon Adventure,"12,18,53,28,10770"
Be Cool,"35,80"
My Summer of Love,"18,53,10749"
Rent,"18,10749"
The Ice Harvest,"28,12,35,80,18,53"
Son of the Mask,"14,35,10751,12"
One Man Band,"16,10751"
Angel-A,"10749,35,18,14"
Dominion: Prequel to the Exorcist,"27,53"
Dreamer: Inspired By a True Story,"18,10751"
The Man,"28,35,80"
Everything is Illuminated,"35,18"
London,"18,28,10749"
Because of Winn-Dixie,"35,18,10751"
A Sound of Thunder,"53,878,12,28"
Jack-Jack Attack,"12,16,10751"
Royal Palace,35
Manderlay,18
Melissa P.,18
The Cave,"28,12,27,53"
The Matador,"28,35,80,18,53"
Little Manhattan,"35,10749"
The Squid and the Whale,"35,18"
Two for the Money,"35,80,18,53"
Venom,"27,53"
Pokémon: Lucario and the Mystery of Mew,"12,16,14"
Thumbsucker,"35,18"
The Sisterhood of the Traveling Pants,"18,35"
The Ringer,35
Last Days,"18,10402"
Beowulf & Grendel,"28,12,18,14"
The Nun,"27,9648"
Boogeyman,"53,27,18,9648"
Keeping Mum,35
Where the Truth Lies,"18,9648,53"
Jesse Stone: Stone Cold,"10770,80,18,53"
Kinky Boots,"35,18,10402"
Fever Pitch,"35,18,10749"
An American Haunting,"27,53"
A Bittersweet Life,"28,18,80"
The Magic Roundabout,"16,10751"
Duma,"12,18,10751"
Sophie Scholl: The Final Days,"18,36"
Caché,"9648,18,53"
Shopgirl,"35,18,10749"
Survival Island,"27,12,18,53,9648"
Tsotsi,"80,18"
Fullmetal Alchemist The Movie: Conqueror of Shamballa,"28,12,16,18"
Joyeux Noël,"10749,18,36,10752,10402"
Scooby-Doo! in Where's My Mummy?,"9648,16,10751,12,35,14"
Man of the House,"35,28"
Lie with Me,18
Cry Wolf,"27,53"
The Secret Life of Words,"18,10749"
Hellraiser: Deader,"27,9648,53"
Kim Possible Movie: So the Drama,"10770,28,12,16,18,10751"
The Upside of Anger,"35,18"
Christmas in Miami,35
Iznogoud,35
The Ballad of Jack and Rose,18
Urban Legends: Bloody Mary,"27,53"
Mrs Henderson Presents,"35,18"
Grizzly Man,99
How Much Do You Love Me?,"35,10749"
Naruto the Movie: Legend of the Stone of Gelel,"12,14,16,18,35,878"
Pusher III: I'm the Angel of Death,"28,53,80"
Live and Become,18
Dead Birds,"27,53,37"
The Child,"18,10749"
MirrorMask,"14,18"
C.R.A.Z.Y.,18
Enron: The Smartest Guys in the Room,99
Noroi: The Curse,"27,9648,53"
Beauty Shop,"35,10749"
The Muppets' Wizard of Oz,"10751,12,35,10402,14"
The Producers,35
Paradise Now,"53,80,18"
Proof,"18,9648"
The Greatest Game Ever Played,18
Gad Elmaleh - L'autre c'est moi,35
Santa's Slay,"35,14,27"
Romanzo criminale,18
Manual of Love,"10749,35,18"
Man-Thing,"28,14,27"
Lords of Dogtown,"18,28"
Into the Sun,"28,12,18,53"
Dave Chappelle's Block Party,"35,99,10402"
Two Sons of Francisco,"18,36"
Flower & Snake II,"18,53"
The Crow: Wicked Prayer,"28,27,53"
Millions,"35,80,18"
Initial D,"28,80,53,18"
Kirikou and the Wild Beasts,"12,16,10751,14"
Edmond,"18,53"
You Are So Beautiful,35
Seven Swords,"28,18"
Tamara,"14,27,53"
The Tiger and the Snow,"35,18,10749"
One Piece: Baron Omatsuri and the Secret Island,"28,16,35"
The Land Before Time XI: Invasion of the Tinysauruses,"14,16,878,10751"
Barely Legal,35
2001 Maniacs,"35,27"
Cake,"18,35,10749"
Stuart Little 3: Call of the Wild,"14,16,35,10751"
Bad News Bears,35
The Chumscrubber,"35,18"
Down in the Valley,"18,10749"
Diary of a Mad Black Woman,"35,18,10749"
The Notorious Bettie Page,"35,18"
Romance & Cigarettes,"35,10402,10749"
Isolation,"27,878,53"
Fragile,"27,53,9648"
Welcome to Dongmakgol,"10752,35,18,36"
Barefoot,"10749,35,18"
A Cock and Bull Story,"35,18"
Shinobi: Heart Under Blade,28
Black Dawn,28
Doctor Who: The Christmas Invasion,
Factotum,"35,18,10749"
13 Tzameti,"28,53"
House Of 9,"53,18,27,9648"
Detective Conan: Strategy Above the Depths,"16,9648"
Sky Fighters,"28,12"
Dirty Deeds,"35,18"
Earthlings,99
Reeker,"27,9648"
Lemming,"18,53,9648"
Wild Things: Diamonds in the Rough,"80,18,9648"
Ti amo in tutte le lingue del mondo,"10749,35"
Go Figure,"10770,35,18,10751"
The Gravedancers,"27,53"
The Aristocrats,"35,99"
9,"16,878"
Torrente 3: The Protector,"35,80"
Mozart and the Whale,"18,35,10749"
9th Company,"18,36,10752,28"
Inside Deep Throat,"36,99"
Antibodies,"53,80,18"
Dirty Love,35
Underclassman,"28,35"
Ghost in the Shell: Stand Alone Complex - The Laughing Man,"878,16,28,80"
Azumi 2: Death or Love,28
Anthony Zimmer,"18,53,80,10749"
Black,18
Christmas in Boston,"35,18,10749"
Tom and Jerry: The Fast and the Furry,"28,10751,16,35,12"
Noriko's Dinner Table,18
The Marksman,"28,12,53"
Trust the Man,"35,18,10749"
Strange Circus,"9648,18,27,53"
The Amateurs,35
Lassie,"12,18,10751"
The Bow,"18,10749"
Princesses,18
The Best Man,"35,10749"
My Father and My Son,"35,18"
Lupin the Third: Angel Tactics,"28,12,16,35,80,10770"
No Direction Home: Bob Dylan,"99,10402"
Happy Endings,"35,18,10749"
Dear Wendy,"35,80,18,10749"
Turtles Can Fly,18
The Prophecy: Uprising,"28,14,27,53"
Fierce People,18
Neverwas,"18,14,53"
Dirty,"80,18,53"
Cigarette Burns,"53,27,10770"
Metal: A Headbanger's Journey,"99,10402"
The Lost City,"18,10749"
Next Door,"27,9648,53"
The Death of Mr. Lazarescu,"35,18"
Roll Bounce,"35,18,10751"
The Call of Cthulhu,"27,53,14"
Reincarnation,27
Dungeons & Dragons: Wrath of the Dragon God,"28,12,14"
Cold Showers,18
Feed,"9648,53"
The Ring Finger,"18,10749"
Bionicle 3: Web of Shadows,"28,12,16,10751,14"
Dracula III: Legacy,27
Fateless,"10752,18"
8MM 2,"53,9648,18"
Why We Fight,"99,18,36"
House of Fury,"28,35"
Lady Ninja Kasumi,"28,18"
The Promise,"14,18,28,53,10749"
Grave of the Fireflies,18
Pooh's Heffalump Halloween Movie,"16,10751"
Wal-Mart: The High Cost of Low Price,99
Tom and Jerry Blast Off to Mars!,"16,10751"
Mortuary,"27,9648,53"
The Ax,"35,80,18,53"
Supercross,"28,12,18,10749"
Lonesome Jim,"35,18,10749"
Submerged,28
In Enemy Hands,"10752,53"
Mouth to Mouth,18
Dead Fish,"53,12,28,35"
Keane,18
The Aura,"80,18,53"
Rize,99
Time to Leave,18
Jenifer,"27,10770"
The Truth About Love,"10749,35"
One Missed Call 2,"9648,27,53"
As It Is in Heaven,"10749,18,35,10402"
The Business,"18,28,53,80"
Don't Tell,18
The Method,"18,53"
Pretty Persuasion,"35,18"
Boy Eats Girl,"35,27"
The Long Weekend,"35,10749"
Return of the Living Dead: Necropolis,"27,35"
The Devil and Daniel Johnston,"10402,99"
The Wayward Cloud,"10402,35,18,10749"
Shallow Ground,27
Quatre étoiles,35
The Sandlot 2,"35,10751"
The White Countess,"18,36,10751,10749"
Boo,27
"The Prize Winner of Defiance, Ohio",18
All About Anna,"35,18,10749"
In Bed,"18,10749"
Little Fish,"18,80"
Animal,"28,18"
Drop Dead Sexy,"35,80"
The Girl in the Café,"35,18,10749,10770"
The Red Shoes,27
The Wendell Baker Story,"35,18,10749"
The Moustache,"53,18,9648"
The Deal,"53,80,18"
My Brother's Wife,"10749,18"
Don't Come Knocking,18
Bee Season,"18,10751"
Sarkar,"80,28,18"
Shadowless Sword,28
A Little Trip to Heaven,"18,53"
Pierrepoint: The Last Hangman,18
Cose da pazzi,35
H.G. Wells' War of the Worlds,878
School of Life,"35,18,10751"
Love Is in the Air,"10749,35"
Last Order: Final Fantasy VII,"28,12,16"
Tropical Malady,"18,14,10749"
Shadows in the Sun,"18,35,10749"
Star Wreck: In the Pirkinning,"878,28,35"
Bloodsuckers,"27,878"
The Mechanik,"28,53"
Battle in Heaven,18
The Mysterious Geographic Explorations of Jasper Morello,"12,16,9648"
Lower City,18
The Witches of Breastwick,
Alien Apocalypse,"18,27,35,53,878"
Today You Die,"28,12,53"
Linda Linda Linda,"35,10402"
D'Artagnan and the Three Musketeers,12
The Wild Soccer Bunch 2,"12,10751,35"
Water,"10749,18"
Salaam Namaste,"18,35,10749"
Cerberus,"27,14"
DeVour,27
Romeo and Juliet Get Married,"18,35,10749"
Stoned,18
Return of the Living Dead: Rave to the Grave,"27,35"
Duelist,28
Princess Aurora,"80,18,9648"
The Mistress of Spices,"18,10749"
George Carlin: Life Is Worth Losing,"99,35,10770"
Standing Still,"35,18,10749"
Ellie Parker,"35,18"
Raging Sharks,"27,878"
Bubble,"18,80,9648"
The Antidote,35
Shadowboxer,"28,80,18,53"
Rings,"27,53"
The Prophecy: Forsaken,"27,53"
The Game of Their Lives,18
Stormy Night,16
Il ritorno del Monnezza,35
Always - Sunset on Third Street,"35,18"
Murderball,99
Death Trance,"28,53,878"
The Dark Hours,"27,878,53"
Free Zone,18
Paper Moon Affair,"18,10749"
Category 7: The End of the World,"28,53,27"
Nana,"10749,18,10402"
Boudu,35
Odd Girl Out,"18,10751"
Paheli,"10749,18"
Pterodactyl,"28,12,27,878,53"
Now You See It...,"10770,35,9648"
Riding Alone for Thousands of Miles,18
The Wild Blue Yonder,"18,878,99"
Siegfried,35
No Entry,"35,10749"
Frozen Land,18
Man with the Screaming Brain,"35,27,878"
Sweet Land,"18,10749"
Carlito's Way: Rise to Power,"28,12,18,53"
The God Who Wasn't There,"99,18"
Loverboy,"18,10749"
Kakurenbo: Hide and Seek,"16,27"
Kochi Rajavu,"18,35"
Garam Masala,35
Game 6,"35,18"
Funky Forest: The First Contact,"35,18,878"
Nine Lives,"18,10749"
Come into the Light,"80,18"
The Cave of the Yellow Dog,"99,18"
Accused,"53,18"
Marilyn Hotchkiss' Ballroom Dancing & Charm School,"35,18,10749"
Locusts: The 8th Plague,"18,27"
Resident Evil 4: Incubate,"28,16,27,9648,53"
Blind Man's Bluff,"80,28,35"
Saw Rebirth,
Gideon's Daughter,"10770,18"
Saint-Jacques... La Mecque,"35,18"
Tony Takitani,18
Mangal Pandey - The Rising,18
Anniyan,"28,18,53"
Lupin the Third: Da Capo of Love - Fujiko's Unlucky Days,"28,16,35,10770"
Death Tunnel,"53,35,27"
Dinotopia: Quest for the Ruby Sunstone,"14,878,10751"
Fuck,99
Hotaru The Hyper Swindler 3,"10749,18,80"
I'm Going to Tell You a Secret,"99,10402"
Crimes of Passion,"10770,53,9648"
The Second Wedding Night,"18,35"
Manticore,"28,14,27,878"
King and the Clown,"18,36,53"
The Perfume Of The Lady In Black,
Naran,18
The Intruder,18
The Little Polar Bear 2: The Mysterious Island,"10751,16"
Ghajini,"28,18,9648,53"
Magic Carpet Ride,35
7 Virgins,18
Scary Godmother: The Revenge of Jimmy,16
Vampires: The Turning,"28,12,27"
King's Ransom,"35,80"
"Quo vadis, baby?",
Sometimes in April,"18,36,10752"
Three Times,"10749,80,18"
The Great Yokai War,"35,14,28"
L'uomo perfetto,35
Haze,27
P,"27,18"
Adam and Eve,"35,10749"
Ghosts,18
Chromophobia,"18,53"
Bob the Butler,35
Ripley Under Ground,"18,53"
Painkiller Jane,"28,878,10770"
Écorchés,53
Heading South,"18,10749"
U2: Vertigo 2005 - Live from Chicago,10402
April Snow,"18,10749"
Meatball Machine,"27,878"
Felicity: An American Girl Adventure,"28,18,10751,53"
The Piano Tuner of Earthquakes,"10749,14,18,10402"
Kids in America,"35,18"
A Hole in My Heart,18
The Fallen Ones,"28,27,53,10770"
Bleach: The Sealed Sword Frenzy,"28,35,18,14,16"
Asylum,"18,53,10749"
Dot.Kill,53
Shadowboxing,"28,18"
One Last Thing...,"35,80,18"
Archangel,"53,18,9648,80"
Within,"18,27,53"
The Rocket: The Legend of Rocket Richard,18
Wah-Wah,18
Sexual Life,"35,18,10749"
Trailer for a Remake of Gore Vidal's Caligula,"35,18"
Strength and Honor: Creating the World of 'Gladiator',99
All the Invisible Children,18
By the Pricking of My Thumbs,"35,9648"
Comedy Central Roast of Pamela Anderson,35
Parineeta,"18,10749"
Voice,27
River Queen,"12,10752"
Wassup Rockers,18
The King Maker,"28,12,18,10749"
The Honeymooners,35
Amnesia: The James Brighton Enigma,"18,9648,53"
The Samurai I Loved,"18,10749,36"
Mr. Incredible and Pals,"16,10751"
Slow Burn,"9648,80,18,53"
Hiroshima,"99,18"
The White Massai,18
Sarah Silverman: Jesus Is Magic,35
Undiscovered,"35,10749"
Kim Novak Never Swam in Genesaret's Lake,"80,18"
Live 8,"10402,99"
Chandramukhi,"35,18,28"
Snowland,18
Seoul Raiders,"18,28,35,53"
Mary,18
Alien Planet,"16,99,878"
The Hunt for the BTK Killer,"10770,80,18"
Mayday,53
"Jenny, Juno","35,10749"
Headspace,"27,878,53"
Alive in Joburg,878
Side Effects,"35,18,10749"
The Eye: Infinity,"53,35,27"
Titanic: Birth of a Legend,"99,18"
Slipstream,878
The Gingerdead Man,"14,27,35"
Destined for Blues,"18,10402"
Too Fat Too Furious,"18,35,80"
Komodo vs. Cobra,"27,878,10770"
Blood Rain,53
Severed,"18,27,53"
Cello,"27,9648"
Daltry Calhoun,"35,18,10402"
McLibel,99
Life Is Ruff,"10770,35,10751"
The Turkish Gambit,"9648,12,28,18,36"
The Proud Family Movie,"10770,16,35,10751"
The Bullet Wives,"28,18"
Black Box,"9648,53"
Bluffmaster!,"18,35,10749"
Thanmathra,18
Schnitzel Paradise,"10749,35"
Zeher,53
Cars,"16,12,35,10751"
Pirates of the Caribbean: Dead Man's Chest,"12,14,28"
The Devil Wears Prada,"35,18,10749"
V for Vendetta,"28,53,14"
The Departed,"18,53,80"
Casino Royale,"12,28,53"
Flushed Away,"12,16,35,10751"
Ice Age: The Meltdown,"16,10751,35,12"
Night at the Museum,"28,12,35,10751,14"
Mission: Impossible III,"12,28,53"
The Prestige,"18,9648,53"
The Pursuit of Happyness,18
Superman Returns,"12,14,28,878"
Pan's Labyrinth,"14,18,10752"
Children of Men,"18,28,53,878"
The Girl Who Leapt Through Time,"14,16,18,878"
Blood Diamond,"18,53,28"
Over the Hedge,"35,16,10751"
Lucky Number Slevin,"18,53,80,9648"
The Da Vinci Code,"53,9648"
Rocky Balboa,18
Click,"35,18,14,10749"
Babel,18
Apocalypto,"28,12,18,53"
The Illusionist,"14,18,53,10749"
Silent Hill,"27,9648"
Step Up,"10402,18,10749,80"
The Texas Chainsaw Massacre: The Beginning,"27,53"
Saw III,"27,53,80"
American Pie Presents: The Naked Mile,35
Miami Vice,"28,12,80,53"
Inside Man,"80,18,53"
Arthur and the Invisibles,"12,14,16,10751"
Underworld: Evolution,"14,28,878,53"
Talladega Nights: The Ballad of Ricky Bobby,35
Inland Empire,"27,18,9648,53"
Open Season,"12,35,16"
The Lives of Others,"18,53"
Ultraviolet,"878,28,53"
The Holiday,"35,10749"
Déjà Vu,"28,53,878"
"OSS 117: Cairo, Nest of Spies","80,28,12,35"
Final Destination 3,"27,9648"
Monster House,"16,35,10751,14"
The Fountain,"18,12,878,10749"
Scary Movie 4,35
Perfume: The Story of a Murderer,"80,14,18"
Fearless,"18,28"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,35
Crank,"28,53,80"
Idiocracy,"12,35,878"
High School Musical,"35,18,10751,10402,10770"
Happy Feet,"16,35,10751"
Poseidon,"12,28,18,53"
Fur: An Imaginary Portrait of Diane Arbus,"18,9648,10749"
The Hills Have Eyes,"27,53"
Hostel,27
Eragon,"14,28,12,10751"
Big Momma's House 2,"35,80"
Barnyard,"16,35,10751"
It's a Boy Girl Thing,"35,14,10749"
Something Something... Unakkum Enakkum,"10749,18,28"
The Omen,27
The Wicker Man,"9648,53,27,18"
She's the Man,"35,18,10751,10749"
The Sentinel,"28,53,80"
Marie Antoinette,"18,36"
Tales from Earthsea,"12,14,16,878"
The Last King of Scotland,18
Candy,"18,10749"
Garfield: A Tail of Two Kitties,"16,35,10751"
Little Children,"10749,18,35"
RV,35
Alpha Dog,"80,18"
A Good Year,"35,18,10749"
Brother Bear 2,"12,16,10751"
Curse of the Golden Flower,"28,18,14"
The Good Shepherd,"18,53,36"
Stranger Than Fiction,"35,18,14,10749"
Goya's Ghosts,18
"You, Me and Dupree","35,10749"
DOA: Dead or Alive,"12,28,53"
Tristan & Isolde,"18,10749"
Paprika,"16,18,9648,878,53"
The Queen,18
Eight Below,"12,18,10751"
A Scanner Darkly,"16,878,53"
Slither,"35,27,878"
Bandidas,"28,35,37,80"
The Host,"27,18,878"
Leroy & Stitch,"16,35,10751"
Basic Instinct 2,"80,9648,53"
Flags of Our Fathers,"10752,18,36"
Snakes on a Plane,"28,80,27,53,18,9648"
Half Nelson,18
The Wild,"10751,16"
The Prince & Me 2: The Royal Wedding,"35,10751,10749"
Hatchet,"35,27"
The Break-Up,"10749,35"
16 Blocks,"28,12,80,53"
The Pink Panther,"28,35,80,9648,10751"
Nacho Libre,"35,10751"
Aquamarine,"14,10749,10751,35"
The Benchwarmers,35
The Guardian,"28,12,18"
Little Man,"35,80"
The Lake House,"10749,18,9648"
The Marine,"28,12,18,53"
The Librarian: Return to King Solomon's Mines,"14,28,12"
Black Book,"18,53,10752"
Van Wilder 2: The Rise of Taj,35
American Dreamz,"35,18,10751"
"Paris, Je T'Aime","18,10749"
Loving Annabelle,"18,10749"
The Ant Bully,"14,12,16,35,10751"
Death Note,"14,9648,53"
The Covenant,"28,12,14,27,878,53"
"I'm a Cyborg, But That's OK","18,35,10749"
World Trade Center,"18,36,53"
The Wind That Shakes the Barley,"18,10752"
Grandma's Boy,35
The Santa Clause 3: The Escape Clause,"35,10751,12"
Undisputed II: Last Man Standing,"28,80,53"
Penelope,"14,35,10749"
Volver,"35,18,10749"
When a Stranger Calls,"27,53"
Open Water 2: Adrift,"18,27,53"
Charlotte's Web,"35,10751,14"
My Super Ex-Girlfriend,"14,18,28,35,80,878"
Tenacious D in The Pick of Destiny,"35,10402"
Wedding Daze,35
United 93,"18,36,80,53,28"
Brick,"18,9648"
Lady in the Water,"18,53,14,9648"
Letters from Iwo Jima,"28,18,10752"
Rescue Dawn,"12,18,10752"
Ultimate Avengers,"28,16,12,878"
All the King's Men,"18,53"
"Don't Worry, I'm Fine",18
Last Holiday,"12,35,18"
Zoom,"10751,35,12,28,878"
Death Note: The Last Name,"14,53,9648"
Lonely Hearts,"18,53,80,10749"
Dr. Dolittle 3,"35,10751,14"
Southland Tales,"35,878,53"
Bambi II,"16,18,10751"
Smokin' Aces,"28,35,80,53,9648"
Barbie in the 12 Dancing Princesses,"16,10751"
Running Scared,"28,80,18,53"
Happily N'Ever After,"12,16,35,10751,14"
Clerks II,35
The Black Dahlia,18
The Painted Veil,10749
Scoop,"35,9648"
Bobby,"36,18"
Take the Lead,"35,10402,18"
A Prairie Home Companion,"18,35,10402"
After the Wedding,18
Hollywoodland,"18,53,80"
Molly: An American Girl on the Home Front,"18,10751,36"
Freedomland,"18,53,80,9648"
We Are Marshall,18
Failure to Launch,35
Dreamgirls,18
Gridiron Gang,"28,12,80,18"
The Barbie Diaries,"10751,16"
The Fox and the Hound 2,"12,16,35,10751"
Population 436,"18,27,9648,53"
Just My Luck,"35,18,10751,14,10749"
Those Happy Days,"35,10751"
Seraphim Falls,"28,18,37"
Curious George,"12,16,35,10751"
Jackass Number Two,"28,35,99"
Madea's Family Reunion,"18,35,10749"
School for Scoundrels,"35,18,10749"
An Inconvenient Truth,99
Asterix and the Vikings,"10751,16,35,12"
Half Light,"9648,53,18,27"
Accepted,35
Black Snake Moan,18
Everyone's Hero,"12,16,35,10751"
Invincible,18
Barbie Fairytopia: Mermaidia,"16,10751,12,14"
Tell No One,"18,53,80,9648"
Unknown,"80,18,9648,53"
Notes on a Scandal,"18,10749"
The Butterfly Effect 2,"18,878,53"
Shortbus,"10749,18,35"
Date Movie,35
The Night Listener,"18,53"
Find Me Guilty,18
Firewall,53
Fido,"10749,35,18,27"
Beerfest,35
Amazing Grace,18
Turistas,"27,53"
French Fried Vacation 3,35
10 Items or Less,"35,18"
Shark Bait,"16,10751"
Material Girls,35
Cashback,"18,35,10749"
Air Buddies,"12,35,10751"
Glory Road,18
Akeelah and the Bee,18
Pulse,"27,53"
Wendy Wu: Homecoming Warrior,"28,12,10751,10770"
Alatriste,28
Severance,"27,35,53"
Read It and Weep,"35,18,10751,10770"
Naruto the Movie: Guardians of the Crescent Moon Kingdom,"12,16,28"
Bon Cop Bad Cop,"28,35,80"
The Astronaut Farmer,"12,35,18,878"
Stormbreaker,"12,28,10751"
Dragon Tiger Gate,"28,53"
Black Christmas,"27,53"
I'll Always Know What You Did Last Summer,27
Infamous,18
John Tucker Must Die,"35,10749"
Stick It,"35,18"
Rob-B-Hood,"18,28,35"
Day Watch,14
Miss Potter,"18,10751,10749"
Mater and the Ghostlight,"16,10751"
The Grudge 2,"27,53"
Factory Girl,18
Employee of the Month,"35,10749"
Days of Glory,"18,36,10752"
The Cheetah Girls 2: When in Spain,"35,18,10751,10402,10770"
The Last Kiss,"35,18,10749"
The Contract,"18,28,53,80"
The Dead Girl,"9648,18,80,53"
Catch and Release,"35,18,10749"
Peaceful Warrior,18
The Shaggy Dog,"35,10751"
Love and Other Disasters,"35,10749"
Tekkonkinkreet,"28,12,16"
Behind the Mask: The Rise of Leslie Vernon,"35,27,53"
The Return,"18,27,53"
The Breed,"53,27,35"
Lifted,"10751,16"
Cold Prey,"18,27,9648,53"
Flyboys,"28,12,18,36,10749,10752"
Dikkenek,35
Black Sheep,"27,35"
Big Nothing,"28,35,80,53"
The Page Turner,"18,10402"
Blind Dating,"35,10749"
No Time for Nuts,"12,16,10751"
Wristcutters: A Love Story,"35,18,14,10749"
Them,"53,27"
The Thief Lord,"12,878"
